shop_id,rating,sold,text,norm_rating,norm_sold,seller_score
2048686,4.743467393774142,1251894,8802,0.8004746396021107,0.8814567750502911,0.8247692802365648
3828997,4.967581047381546,630054,802,0.9747852590745358,0.4436131254519505,0.8154336189877601
162561,4.586907449209932,1420253,6202,0.6787057938299474,0.9999999999999999,0.7750940556809631
4057181,5.0,2865,15,1.0,0.0020031924339175334,0.7006009577301752
1983138,5.0,216,8,1.0,0.00013800552444563673,0.7000414016573336
2236860,5.0,110,5,1.0,6.336988367401688e-05,0.7000190109651021
842194,5.0,20,5,1.0,0.0,0.7
2026025,4.9714285714285715,1161,35,0.9777777777777779,0.0008033893030228138,0.6846854612353512
1884654,4.862873134328358,276801,3216,0.8933457711442783,0.19488421970197847,0.6838073057115883
422478,4.9411764705882355,612,17,0.9542483660130721,0.00041683301261131095,0.6680989061129338
2951077,4.933333333333334,600,15,0.9481481481481486,0.00040838369478810873,0.6638262188121404
2388818,4.916666666666667,20781,36,0.9351851851851856,0.01461802394395849,0.6590150368128175
844505,4.916666666666667,8439,72,0.9351851851851856,0.005927900562794978,0.6564079997984684
3725873,4.913043478260869,413,23,0.9323671497584538,0.00027671515870987366,0.6527400193785305
293276,4.909090909090909,4041,33,0.9292929292929295,0.002831225580591354,0.651354418179228
3442590,4.909090909090909,3564,22,0.9292929292929295,0.0024953651971190644,0.6512536600641863
2058017,4.900763358778626,836,131,0.9228159457167093,0.000574553611977753,0.6461435280852897
3604797,4.888888888888889,79,9,0.9135802469135808,4.154247929741106e-05,0.6395186355832957
2055662,4.883720930232558,1462,43,0.909560723514212,0.0010153263584214702,0.6369971043674748
2720728,4.875,1616,16,0.9027777777777781,0.001123759270485899,0.6322815722255904
2921729,4.875,392,8,0.9027777777777781,0.00026192885251926973,0.6320230231002004
1562471,4.868852459016393,11005,61,0.8979963570127505,0.007734646357323059,0.6309178438161223
1266444,4.857142857142857,5733,49,0.8888888888888888,0.004022579393662871,0.623428996040321
157834,4.836158192090395,3761,354,0.8725674827369745,0.0026340748313833013,0.6115874603652971
111313,4.833333333333333,5400,30,0.8703703703703702,0.0037881108240690087,0.6103956925064798
2346218,4.833333333333333,704,42,0.8703703703703702,0.00048161111592252826,0.609403742594036
3738116,4.826086956521739,5911,23,0.8647342995169085,0.004147910941373704,0.606558382944248
3672041,4.823529411764706,4284,34,0.8627450980392157,0.003002324266511199,0.6048222659074043
262877,4.821428571428571,3164,28,0.8611111111111112,0.0022137212696789893,0.6034418941586814
748514,4.811428571428571,27857,175,0.8533333333333335,0.019600305020373417,0.6032134248394454
217934,4.821428571428571,700,28,0.8611111111111112,0.00047879467664812745,0.6029214161807722
155590,4.818181818181818,751,22,0.858585858585859,0.000514704277396737,0.6011645122933202
1480000,4.809187279151944,3249,283,0.8515901060070679,0.0022735706042600052,0.5967951453862255
2928744,4.80564263322884,8957,319,0.8488331591779867,0.006292629448829874,0.5960710002592395
3360643,4.8,140,5,0.8444444444444446,8.449317823202249e-05,0.5911364590645808
296522,4.78125,5933,64,0.8298611111111112,0.004163401357382908,0.5821517981849926
3824760,4.782312925170068,2864,147,0.8306878306878307,0.002002488324098933,0.5820822279787111
1636592,4.77906976744186,10036,86,0.8281653746770026,0.007052363943099477,0.5818314714568316
116740,4.780748663101604,2244,187,0.8294711824123588,0.0015659402365668167,0.5810996097596212
1787060,4.698308270676692,214153,3192,0.7653508771929824,0.15077314778631393,0.5809775583709819
231740,4.776859504132231,10706,121,0.8264462809917354,0.007524117521561602,0.5807696319506832
264611,4.777777777777778,549,9,0.8271604938271606,0.00037247409403949914,0.5791240879072242
87187,4.777777777777778,372,9,0.8271604938271606,0.000247846656147266,0.5790866996758566
3420489,4.7290322580645165,118335,155,0.7892473118279577,0.08330675318768117,0.5774651442358747
2126488,4.767326732673268,11533,202,0.8190319031903193,0.008106416341543958,0.5757542571356866
3965735,4.745098039215686,66639,153,0.8017429193899783,0.04690709200532589,0.5752921711745826
595824,4.747774480712166,59596,1011,0.8038245961094623,0.04194804655292477,0.575261631242501
3386847,4.769230769230769,870,78,0.8205128205128207,0.0005984933458101593,0.5745385223627175
534908,4.766666666666667,3750,30,0.8185185185185189,0.002626329623378699,0.5737508618499767
1357768,4.759358288770054,20660,187,0.8128342245989311,0.014532826655907868,0.573343805216024
2107964,4.716804979253112,89229,964,0.7797372060857541,0.06281293280750412,0.564659924102279
182573,4.75,2840,40,0.8055555555555558,0.0019855896884525288,0.5644845657954247
1416245,4.75,1872,16,0.8055555555555558,0.0013040113840475471,0.5642800923041033
2479495,4.75,636,12,0.8055555555555558,0.0004337316482577155,0.5640190083833663
1102298,4.72020725388601,62745,193,0.7823834196891193,0.04416528837169676,0.5609179802938924
588756,4.7,113466,430,0.766666666666667,0.07987844248091687,0.5606301994109419
3617342,4.7368421052631575,66,19,0.7953216374269005,3.2389051655608614e-05,0.556734862914327
499950,4.714285714285714,1113,7,0.7777777777777781,0.0007695920317300048,0.5446753220539636
854217,4.714285714285714,567,7,0.7777777777777781,0.0003851480707743025,0.5445599888656769
4714314,4.7,1590,10,0.766666666666667,0.0011054524152022942,0.5369983023912276
2290361,4.7,89,30,0.766666666666667,4.858357748341293e-05,0.5366812417399118
1605656,4.6909090909090905,20735,55,0.7595959595959596,0.014585634892302883,0.5360928621848625
969587,4.689655172413793,14181,87,0.7586206896551722,0.009970899141197254,0.5340257525009796
1315606,4.685393258426966,22784,89,0.7553058676654185,0.016028355910614665,0.5335226141389774
258554,4.689349112426036,9802,338,0.7583826429980278,0.006887602245547033,0.5329341307722836
1114588,4.6689655172413795,59160,145,0.7425287356321841,0.041641054672015086,0.5322624313441334
4110530,4.673076923076923,7268,52,0.7457264957264962,0.005103387965214158,0.5235395633981115
360782,4.541925465838509,342712,644,0.643719806763285,0.24129280195573544,0.5229917053210201
2359418,4.666666666666667,198,6,0.7407407407407414,0.00012533154771083335,0.5185561179828322
580197,4.622641509433962,94761,265,0.7064989517819709,0.06670806832400036,0.5145616867445797
311561,4.653846153846154,1482,26,0.7307692307692313,0.0010294085547934739,0.5118472841048999
2272684,4.642857142857143,910,14,0.7222222222222228,0.0006266577385541668,0.5057435528771221
255509,4.617495711835335,51643,583,0.7024966647608162,0.03634826116559748,0.5026521436822505
105244,4.630434782608695,463,92,0.71256038647343,0.00031192064963988305,0.49888584672629294
88752,4.616666666666666,18484,120,0.7018518518518517,0.01300068369063386,0.4951965014034863
1477109,4.621621621621622,5202,37,0.7057057057057063,0.0036486970799861716,0.49508860311799024
537844,4.617647058823529,2890,34,0.702614379084967,0.002020795179382538,0.49243630391329163
2226118,4.598187311178248,25061,1324,0.6874790198053042,0.017631613967567294,0.48652479805398313
2357517,4.6,3848,15,0.6888888888888887,0.0026953323856015177,0.48303082193790253
2008599,4.6,30,5,0.6888888888888887,7.041098186001873e-06,0.48222433455167785
1406327,4.575342465753424,29520,292,0.669710806697108,0.020771239648705527,0.4750289365825872
2100844,4.583333333333333,348,12,0.675925925925926,0.00023094802050086148,0.4732174325542985
2778007,4.578947368421052,5458,57,0.672514619883041,0.003828949193547819,0.471908918676193
154793,4.571428571428571,958,224,0.6666666666666665,0.0006604550098469758,0.4668648031696206
4590089,4.571428571428571,297,42,0.6666666666666665,0.00019503841975225192,0.4667251781925922
20386,4.571428571428571,156,14,0.6666666666666665,9.575893532962549e-05,0.46669539434726537
511722,4.493036211699164,181713,359,0.6056948313215722,0.12793182527092387,0.46236592950637767
2940563,4.56,1987,25,0.6577777777777776,0.0013849840131865685,0.4608599396484002
847454,4.56,1625,25,0.6577777777777776,0.0011300962588533007,0.46078347332210023
113813,4.318039950062422,573287,3204,0.46958662782632876,0.40364292337947366,0.4498035164922722
1104720,4.538461538461538,283,13,0.641025641025641,0.0001851808822918493,0.4487735029826362
1461393,4.513274336283186,38289,113,0.6214355948869228,0.026945578648010574,0.4430885900152491
97026,4.484472049689441,12593,322,0.5990338164251212,0.008852772749260156,0.42197950332236284
154386,4.484848484848484,7380,66,0.599326599326599,0.005182248264897379,0.4210832940080885
715011,4.481481481481482,11559,162,0.5967078189300414,0.008124723196827562,0.4201328902100772
2993850,4.469387755102041,34447,49,0.5873015873015874,0.02424038872494865,0.4183832277285958
1409714,4.481481481481482,2430,27,0.5967078189300414,0.0016969046628264517,0.4182045446498769
1371033,4.442105263157894,19665,95,0.5660818713450291,0.013832237386400681,0.4004069811574405
52614,4.32398753894081,305199,321,0.4742125302872968,0.2148795303305866,0.39641263030028373
3548497,4.433962264150943,15529,53,0.5597484276729561,0.010920039176670306,0.3950999111240703
3420410,4.433333333333334,129,30,0.5592592592592598,7.674797022742043e-05,0.39150450587255003
3309977,4.428571428571429,2730,14,0.5555555555555558,0.0019081376084065078,0.389461330171411
126048,4.411764705882353,493,17,0.5424836601307192,0.00033304394419788865,0.37983847527476283
2292628,4.395348837209302,21284,86,0.5297157622739017,0.014972191182714385,0.3752926909465455
828267,4.4,1180,10,0.5333333333333337,0.0008167673895762175,0.3735783635502064
1521606,4.390873015873016,6048,504,0.5262345679012346,0.004244373986521929,0.36963750972682075
452241,4.372881355932203,3463,59,0.512241054613936,0.0024242501054404456,0.35929601326138727
648559,4.361233480176211,4809,227,0.5031815956926087,0.003371981921276298,0.35323871156120895
3925407,4.324324324324325,6512,296,0.47447447447447466,0.0045710809423524165,0.3335034564148379
131765,4.3,31137,410,0.4555555555555557,0.021909785225382034,0.3254618244565036
480030,4.257142857142857,3570,35,0.4222222222222225,0.0024995898560306656,0.29630543251236496
755219,4.254901960784314,708,102,0.420479302832244,0.00048442755519692896,0.29448084024912985
156829,4.25,336,8,0.41666666666666696,0.0002224987026776592,0.2917334162774701
998837,4.230769230769231,585,13,0.40170940170940206,0.0003978220475091059,0.28131592781083414
442217,4.228571428571429,5460,35,0.40000000000000036,0.0038303574131850196,0.28114910722395575
1115727,4.222222222222222,10215,45,0.39506172839506215,0.0071783996006289106,0.27869672975673215
1134861,4.222222222222222,288,9,0.39506172839506215,0.00018870143138485023,0.2765998203059589
756997,4.2,75,5,0.3777777777777782,3.8726040023010305e-05,0.26445606225645163
1718346,4.185185185185185,2700,27,0.3662551440329218,0.0018870143138485023,0.2569447051171998
2270419,4.0724409448818895,17145,635,0.27856517935258074,0.01205788064352821,0.19861298973986496
2028094,4.0,2024,23,0.22222222222222232,0.0014110360764747756,0.15597886637849806
614713,3.7142857142857144,175,7,0.0,0.00010913702188302905,3.2741106564908716e-05
